TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8567533","One Piece Card Game","Royal Blood","Trafalgar Law (022)","","OP10-022","L","Near Mint","0.24","","1.4900","0.1800","","0","",""
"8567538","One Piece Card Game","Royal Blood","Trafalgar Law (022) (Parallel)","","OP10-022","L","Near Mint Foil","55.58","","53.9800","52.7600","","0","",""
"8568103","One Piece Card Game","Royal Blood","Trafalgar Law (119)","","OP10-119","SEC","Near Mint Foil","24.51","","25.2400","24.0200","","0","",""
"8568113","One Piece Card Game","Royal Blood","Trafalgar Law (119) (Manga)","","OP10-119","SEC","Near Mint Foil","629.82","","600.0000","600.0000","","0","",""
"8568108","One Piece Card Game","Royal Blood","Trafalgar Law (119) (Parallel)","","OP10-119","SEC","Near Mint Foil","51.96","","52.8100","51.8200","","0","",""
"8567818","One Piece Card Game","Royal Blood","Trebol","","OP10-070","C","Near Mint","0.10","","1.3300","0.0200","","0","",""
"8567998","One Piece Card Game","Royal Blood","Urouge","","OP10-101","C","Near Mint","0.14","","1.3300","0.0200","","0","",""
"8567393","One Piece Card Game","Royal Blood","Urouge (SP)","","OP07-021","R","Near Mint Foil","63.94","","55.9600","54.6900","","0","",""
"8568133","One Piece Card Game","Royal Blood","Uso-Hachi (SP)","","ST18-001","C","Near Mint Foil","101.92","","142.8900","142.8900","","0","",""
"8567653","One Piece Card Game","Royal Blood","Usopp (042)","","OP10-042","L","Near Mint","0.22","","1.3300","0.0200","","0","",""
"8567658","One Piece Card Game","Royal Blood","Usopp (042) (Parallel)","","OP10-042","L","Near Mint Foil","60.58","","57.9300","57.9300","","0","",""
"8567883","One Piece Card Game","Royal Blood","Usopp (081)","","OP10-081","C","Near Mint","0.15","","1.3900","0.0800","","0","",""
"8567428","One Piece Card Game","Royal Blood","Vergo","","OP10-004","R","Near Mint","0.19","","1.4200","0.1100","","0","",""
"8567778","One Piece Card Game","Royal Blood","Vinsmoke Sanji","","OP10-063","R","Near Mint Foil","0.24","","1.4600","0.1500","","0","",""
"8567773","One Piece Card Game","Royal Blood","Violet","","OP10-062","R","Near Mint Foil","0.17","","1.4200","0.1100","","0","",""
"8568073","One Piece Card Game","Royal Blood","X.Drake","","OP10-114","UC","Near Mint","0.23","","1.5000","0.1900","","0","",""
